Column1;Column2;Column3
;date_of_interest;DEATH_COUNT
1;02/29/2020;0
2;03/01/2020;0
3;03/02/2020;0
4;03/03/2020;0
5;03/04/2020;0
6;03/05/2020;0
7;03/06/2020;0
8;03/07/2020;0
9;03/08/2020;0
10;03/09/2020;0
11;03/10/2020;0
12;03/11/2020;1
13;03/12/2020;0
14;03/13/2020;0
15;03/14/2020;3
16;03/15/2020;4
17;03/16/2020;9
18;03/17/2020;12
19;03/18/2020;24
20;03/19/2020;27
21;03/20/2020;49
22;03/21/2020;51
23;03/22/2020;52
24;03/23/2020;96
25;03/24/2020;107
26;03/25/2020;143
27;03/26/2020;229
28;03/27/2020;262
29;03/28/2020;323
30;03/29/2020;356
31;03/30/2020;414
32;03/31/2020;476
33;04/01/2020;556
34;04/02/2020;676
35;04/03/2020;676
36;04/04/2020;715
37;04/05/2020;758
38;04/06/2020;816
39;04/07/2020;831
40;04/08/2020;782
41;04/09/2020;767
42;04/10/2020;742
43;04/11/2020;730
44;04/12/2020;754
45;04/13/2020;768
46;04/14/2020;659
47;04/15/2020;578
48;04/16/2020;555
49;04/17/2020;489
50;04/18/2020;513
51;04/19/2020;494
52;04/20/2020;465
53;04/21/2020;426
54;04/22/2020;399
55;04/23/2020;415
56;04/24/2020;380
57;04/25/2020;325
58;04/26/2020;300
59;04/27/2020;322
60;04/28/2020;267
61;04/29/2020;274
62;04/30/2020;253
63;05/01/2020;256
64;05/02/2020;224
65;05/03/2020;210
66;05/04/2020;195
67;05/05/2020;169
68;05/06/2020;182
69;05/07/2020;159
70;05/08/2020;155
71;05/09/2020;110
72;05/10/2020;114
73;05/11/2020;120
74;05/12/2020;108
75;05/13/2020;92
76;05/14/2020;86
77;05/15/2020;98
78;05/16/2020;100
79;05/17/2020;89
80;05/18/2020;67
81;05/19/2020;64
82;05/20/2020;84
83;05/21/2020;51
84;05/22/2020;79
85;05/23/2020;64
86;05/24/2020;54
87;05/25/2020;53
88;05/26/2020;42
89;05/27/2020;51
90;05/28/2020;41
91;05/29/2020;51
92;05/30/2020;56
93;05/31/2020;42
94;06/01/2020;39
95;06/02/2020;45
96;06/03/2020;45
97;06/04/2020;38
98;06/05/2020;31
99;06/06/2020;36
100;06/07/2020;29
101;06/08/2020;44
102;06/09/2020;33
103;06/10/2020;39
104;06/11/2020;26
105;06/12/2020;26
106;06/13/2020;17
107;06/14/2020;22
108;06/15/2020;20
109;06/16/2020;19
110;06/17/2020;21
111;06/18/2020;16
112;06/19/2020;16
113;06/20/2020;17
114;06/21/2020;22
115;06/22/2020;18
116;06/23/2020;19
117;06/24/2020;18
118;06/25/2020;16
119;06/26/2020;18
120;06/27/2020;17
121;06/28/2020;12
122;06/29/2020;19
123;06/30/2020;11
124;07/01/2020;10
125;07/02/2020;18
126;07/03/2020;12
127;07/04/2020;6
128;07/05/2020;9
129;07/06/2020;11
130;07/07/2020;7
131;07/08/2020;16
132;07/09/2020;5
133;07/10/2020;5
134;07/11/2020;9
135;07/12/2020;7
136;07/13/2020;15
137;07/14/2020;10
138;07/15/2020;14
139;07/16/2020;6
140;07/17/2020;10
141;07/18/2020;11
142;07/19/2020;10
143;07/20/2020;10
144;07/21/2020;6
145;07/22/2020;8
146;07/23/2020;8
147;07/24/2020;5
148;07/25/2020;11
149;07/26/2020;8
150;07/27/2020;3
151;07/28/2020;13
152;07/29/2020;5
153;07/30/2020;5
154;07/31/2020;4
155;08/01/2020;7
156;08/02/2020;2
157;08/03/2020;3
158;08/04/2020;5
159;08/05/2020;6
160;08/06/2020;6
161;08/07/2020;2
162;08/08/2020;4
163;08/09/2020;3
164;08/10/2020;5
165;08/11/2020;5
166;08/12/2020;3
167;08/13/2020;4
168;08/14/2020;4
169;08/15/2020;5
170;08/16/2020;5
171;08/17/2020;5
172;08/18/2020;2
173;08/19/2020;1
174;08/20/2020;6
175;08/21/2020;5
176;08/22/2020;7
177;08/23/2020;3
178;08/24/2020;8
179;08/25/2020;3
