Column1;Column2;Column3
;date_of_interest;HOSPITALIZED_COUNT
1;02/29/2020;1
2;03/01/2020;1
3;03/02/2020;2
4;03/03/2020;7
5;03/04/2020;2
6;03/05/2020;14
7;03/06/2020;8
8;03/07/2020;8
9;03/08/2020;18
10;03/09/2020;37
11;03/10/2020;60
12;03/11/2020;78
13;03/12/2020;106
14;03/13/2020;152
15;03/14/2020;177
16;03/15/2020;210
17;03/16/2020;338
18;03/17/2020;385
19;03/18/2020;494
20;03/19/2020;631
21;03/20/2020;738
22;03/21/2020;734
23;03/22/2020;773
24;03/23/2020;1131
25;03/24/2020;1301
26;03/25/2020;1434
27;03/26/2020;1535
28;03/27/2020;1585
29;03/28/2020;1394
30;03/29/2020;1509
31;03/30/2020;1858
32;03/31/2020;1816
33;04/01/2020;1768
34;04/02/2020;1684
35;04/03/2020;1712
36;04/04/2020;1460
37;04/05/2020;1406
38;04/06/2020;1750
39;04/07/2020;1590
40;04/08/2020;1559
41;04/09/2020;1353
42;04/10/2020;1293
43;04/11/2020;1048
44;04/12/2020;951
45;04/13/2020;1156
46;04/14/2020;984
47;04/15/2020;866
48;04/16/2020;782
49;04/17/2020;789
50;04/18/2020;584
51;04/19/2020;536
52;04/20/2020;641
53;04/21/2020;587
54;04/22/2020;519
55;04/23/2020;448
56;04/24/2020;474
57;04/25/2020;327
58;04/26/2020;307
59;04/27/2020;370
60;04/28/2020;356
61;04/29/2020;313
62;04/30/2020;254
63;05/01/2020;263
64;05/02/2020;208
65;05/03/2020;216
66;05/04/2020;240
67;05/05/2020;213
68;05/06/2020;213
69;05/07/2020;176
70;05/08/2020;166
71;05/09/2020;123
72;05/10/2020;105
73;05/11/2020;180
74;05/12/2020;113
75;05/13/2020;130
76;05/14/2020;142
77;05/15/2020;128
78;05/16/2020;91
79;05/17/2020;80
80;05/18/2020;111
81;05/19/2020;114
82;05/20/2020;80
83;05/21/2020;83
84;05/22/2020;102
85;05/23/2020;74
86;05/24/2020;86
87;05/25/2020;79
88;05/26/2020;76
89;05/27/2020;75
90;05/28/2020;79
91;05/29/2020;84
92;05/30/2020;54
93;05/31/2020;60
94;06/01/2020;81
95;06/02/2020;64
96;06/03/2020;73
97;06/04/2020;75
98;06/05/2020;53
99;06/06/2020;42
100;06/07/2020;54
101;06/08/2020;60
102;06/09/2020;65
103;06/10/2020;65
104;06/11/2020;49
105;06/12/2020;52
106;06/13/2020;35
107;06/14/2020;47
108;06/15/2020;52
109;06/16/2020;61
110;06/17/2020;49
111;06/18/2020;56
112;06/19/2020;45
113;06/20/2020;25
114;06/21/2020;44
115;06/22/2020;48
116;06/23/2020;44
117;06/24/2020;52
118;06/25/2020;43
119;06/26/2020;33
120;06/27/2020;43
121;06/28/2020;32
122;06/29/2020;47
123;06/30/2020;45
124;07/01/2020;39
125;07/02/2020;45
126;07/03/2020;30
127;07/04/2020;30
128;07/05/2020;29
129;07/06/2020;54
130;07/07/2020;47
131;07/08/2020;34
132;07/09/2020;46
133;07/10/2020;45
134;07/11/2020;34
135;07/12/2020;26
136;07/13/2020;49
137;07/14/2020;43
138;07/15/2020;44
139;07/16/2020;34
140;07/17/2020;50
141;07/18/2020;26
142;07/19/2020;38
143;07/20/2020;38
144;07/21/2020;24
145;07/22/2020;40
146;07/23/2020;33
147;07/24/2020;40
148;07/25/2020;35
149;07/26/2020;25
150;07/27/2020;38
151;07/28/2020;38
152;07/29/2020;30
153;07/30/2020;37
154;07/31/2020;34
155;08/01/2020;27
156;08/02/2020;33
157;08/03/2020;40
158;08/04/2020;32
159;08/05/2020;38
160;08/06/2020;34
161;08/07/2020;23
162;08/08/2020;21
163;08/09/2020;26
164;08/10/2020;41
165;08/11/2020;25
166;08/12/2020;31
167;08/13/2020;39
168;08/14/2020;38
169;08/15/2020;23
170;08/16/2020;21
171;08/17/2020;33
172;08/18/2020;39
